direction,company,topic,difficulty,question,answer_hints,source
ML,Общий,Deep Learning,Medium,В чем разница между Batch Normalization и Layer Normalization?,Batch Norm нормализует по батчу (для одного нейрона по всем объектам). Layer Norm нормализует по признакам (для одного объекта по всем нейронам слоя). Layer Norm лучше для RNN/Transformers.,Блогеры ML
ML,Общий,Deep Learning,Medium,Чем отличаются оптимизаторы SGD и Adam?,"SGD обновляет веса по градиенту всего батча (можно с Momentum). Adam — адаптивный оптимизатор, который хранит скользящее среднее градиента и его квадрата для каждого параметра. Сходится быстрее.",Общие источники
ML,Общий,Deep Learning,Easy,Что такое Transfer Learning (Трансферное обучение)?,"Использование предобученной модели (например, на ImageNet) для решения новой похожей задачи. Обычно ""замораживают"" ранние слои и дообучают только классификатор (голову).",Блогеры DS
ML,Общий,Deep Learning,Easy,Что такое Data Augmentation и зачем она нужна?,"Искусственное расширение обучающей выборки путем аугментации (повороты, отражения, шум для картинок; синонимы, бэк-транслейт для текста). Помогает бороться с переобучением.",Общие источники
ML,Общий,NLP,Medium,Что такое Word Embeddings? В чем разница между Word2Vec и GloVe?,Векторные представления слов. Word2Vec предсказывает контекст по слову (или наоборот). GloVe строит матрицу совместной встречаемости слов по всему корпусу и факторизует её.,Habr
ML,Общий,NLP,Hard,Как работает механизм Self-Attention в Трансформерах?,"Вычисляет важность каждого слова в последовательности относительно всех остальных. Использует Query, Key, Value. Позволяет модели учитывать дальние зависимости в тексте.",YouTube (Яндекс Практикум)
ML,Общий,NLP,Hard,В чем архитектурная разница между BERT и GPT?,"BERT — автоэнкодер (Masked LM), смотрит на контекст слева и справа, хорош для классификации. GPT — авторегрессионная модель (Causal LM), смотрит только влево, хороша для генерации текста.",Блогеры ML
ML,Общий,Computer Vision,Medium,Зачем в сверточных сетях (CNN) используют операции свертки (Convolution) и пулинга (Pooling)?,"Свертка извлекает локальные признаки (края, текстуры) и сохраняет пространственную структуру. Пулинг уменьшает размерность, ускоряет вычисления и добавляет инвариантность к сдвигам.",LeetCode
ML,Общий,Deep Learning,Medium,Что такое Dropout и как он работает во время обучения и инференса?,"Случайное ""отключение"" части нейронов во время обучения с вероятностью p. Заставляет сеть не полагаться на конкретные нейроны (борьба с переобучением). На инференсе все нейроны активны, веса масштабируются.",Общие источники
ML,Общий,MLOps,Medium,"Как правильно разделять данные на Train, Validation и Test?","Train — для обучения весов. Validation — для подбора гиперпараметров и ранней остановки. Test — для финальной оценки, используется только один раз в самом конце.",Блогеры DS
ML,Общий,MLOps,Hard,Как проводить A/B тестирование для ML-модели?,"Сплит должен быть по пользователям (а не по событиям), чтобы избежать загрязнения. Нужно заранее посчитать размер выборки (MDE), выбрать метрики (Guardrail и Success metrics).",VC.ru
ML,Общий,MLOps,Medium,Что такое Data Drift и Concept Drift? Как их мониторить?,Data Drift — изменилось распределение входных признаков (P(X)). Concept Drift — изменилась связь между признаками и целевой переменной (P(Y,"X)). Мониторят через PSI, KL-дивергенцию, стат. тесты."
ML,Общий,Классический ML,Medium,"Как интерпретировать модель ""черного ящика"" (например, XGBoost)?","Глобальная интерпретация: Feature Importance (Gain, Permutation). Локальная интерпретация: SHAP (Shapley Additive Explanations) и LIME.",Habr
ML,Общий,Теория ML,Hard,Что такое теорема Байеса и как она применяется в ML?,"Формула: P(A|B) = P(B|A) * P(A) / P(B). Применяется в наивном байесовском классификаторе, байесовской оптимизации, вероятностном программировании",Общие источники
DS,Общий,Статистика,Easy,Что такое p-value простыми словами?,"Вероятность получить наблюдаемые или более крайние результаты при условии, что нулевая гипотеза верна. Не является вероятностью того, что гипотеза верна.",Общие источники
DS,Общий,Статистика,Medium,В чем разница между ошибкой I рода (Type I) и ошибкой II рода (Type II)?,Ошибка I рода (False Positive): отвергли верную нулевую гипотезу (альфа). Ошибка II рода (False Negative): приняли ложную нулевую гипотезу (бета).,Общие источники
DS,Общий,Статистика,Medium,Что такое Центральная Предельная Теорема (ЦПТ) и почему она важна для A/B тестов?,"Утверждает, что выборочное среднее стремится к нормальному распределению при увеличении размера выборки, независимо от распределения генеральной совокупности. Позволяет использовать параметрические тесты.",Habr
DS,Яндекс,A/B тесты,Hard,Как рассчитать необходимый размер выборки для A/B теста?,"Нужно задать: базовую конверсию (MDE), минимальный детектируемый эффект (MDE), уровень значимости (alpha, обычно 0.05) и мощность теста (power, обычно 0.8). Используется формула или калькуляторы (например, Evan's Awesome A/B Tools).",LeetCode
DS,Т-Банк,A/B тесты,Medium,"Что делать, если A/B тест не показал статистической значимости, но бизнес очень хочет зафичить изменение?","Проверить мощность теста (не был ли MDE завышен?), посмотреть на сегменты (возможно, эффект есть в конкретной группе), оценить экономический смысл (даже маленький эффект может давать деньги), запустить как A/A тест на будущее.",VC.ru
DS,Авито,A/B тесты,Hard,Что такое сетевой эффект (интерференция) в A/B тестах и как с ним бороться?,"Ситуация, когда действие в контрольной группе влияет на тестовую (например, маркетплейс: больше продавцов в тесте -> больше покупателей уходят из контроля). Решения: кластеризация (switchback), гео-сплит, сетевые графы.",Блогеры DS
DS,Общий,Метрики,Easy,Объясни разницу между метриками Retention и Churn Rate.,"Retention (удержание) — доля пользователей, вернувшихся в продукт. Churn (отток) — доля пользователей, переставших пользоваться продуктом. Они дополняют друг друга до 100% за период.",Общие источники
DS,Сбер,Метрики,Medium,Как посчитать LTV (Lifetime Value) и какое соотношение LTV/CAC считается здоровым?,"LTV = (Средний чек * Частота покупок * Время жизни клиента) * Маржа. Здоровое соотношение LTV/CAC > 3. Если < 1, бизнес теряет деньги на привлечении.",VC.ru
DS,Озон,Метрики,Medium,Что такое прокси-метрики и guardrail-метрики в A/B тестах?,"Прокси-метрики быстро реагируют на изменения (клики, время на сайте). Guardrail (ограничивающие) метрики следят, чтобы новое фича не сломала основное (например, время загрузки страницы, количество жалоб, отписки).",Блогеры DS
DS,Общий,SQL,Easy,"В чем разница между INNER JOIN, LEFT JOIN и FULL OUTER JOIN?","INNER: только совпадающие строки в обеих таблицах. LEFT: все строки из левой таблицы + совпадения из правой. FULL: все строки из обеих таблиц, где нет совпадений — NULL.",LeetCode
DS,Яндекс,SQL,Medium,"В чем разница между функциями ROW_NUMBER(), RANK() и DENSE_RANK()?","ROW_NUMBER: уникальные номера 1, 2, 3, 4. RANK: 1, 2, 2, 4 (пропуск после одинаковых). DENSE_RANK: 1, 2, 2, 3 (без пропусков).",LeetCode
DS,Т-Банк,SQL,Medium,В чем разница между WHERE и HAVING в SQL?,WHERE фильтрует строки ДО агрегации (GROUP BY). HAVING фильтрует сгруппированные результаты ПОСЛЕ агрегации.,Общие источники
DS,Авито,SQL,Hard,Как найти N-ю по величине зарплату в таблице с помощью SQL?,Использовать оконную функцию DENSE_RANK() или подзапрос с ORDER BY и LIMIT/OFFSET.,LeetCode
DS,Общий,Python,Easy,В чем разница между list и tuple в Python?,"List изменяемый (mutable), использует больше памяти. Tuple неизменяемый (immutable), работает быстрее, может быть ключом в словаре.",Общие источники
DS,Яндекс,Python,Medium,Что такое GIL (Global Interpreter Lock) в Python и как он влияет на многопоточность?,"GIL предотвращает одновременное выполнение байт-кода Python несколькими потоками в одном процессе. Из-за этого многопоточность в Python не дает ускорения для CPU-bound задач, но полезна для I/O-bound.",Habr
DS,Сбер,Python,Medium,Как в pandas эффективно обработать пропущенные значения (NaN)?,"Методы: dropna() (удаление), fillna() (замена на среднее/медиану/константу), интерполяция (interpolate). Выбор зависит от природы пропусков (MCAR, MAR, MNAR).",Блогеры DS
DS,Общий,Python,Hard,Как работают декораторы в Python?,"Это функции, которые принимают другую функцию и расширяют ее поведение, не изменяя ее код. Используют синтаксис @. Примеры: @staticmethod, @app.route, кэширование (functools.lru_cache).",Общие источники
DS,Озон,Статистика,Medium,Что такое парадокс Симпсона и как он проявляется в анализе данных?,"Ситуация, когда тенденция, присутствующая в нескольких группах данных, исчезает или меняется на противоположную при объединении этих групп. Важно делать стратификацию данных.",VC.ru
DS,Общий,Статистика,Easy,В чем разница между корреляцией и причинно-следственной связью (causation)?,"Корреляция означает совместное изменение переменных, но не доказывает, что одна вызывает другую. Причинно-следственная связь требует доказательств (например, через рандомизированный A/B тест).",Общие источники
DS,Т-Банк,Статистика,Medium,Как интерпретировать 95% доверительный интервал для среднего значения?,"Если мы многократно будем брать выборки и строить для каждой ДИ, то в 95% случаев истинное среднее генеральной совокупности попадет в этот интервал. Это не вероятность того, что истинное среднее лежит в данном конкретном интервале.",Habr
DS,Авито,Метрики,Hard,Что такое когортный анализ и для каких задач он используется?,"Разделение пользователей на группы (когорты) по общему признаку (например, месяц регистрации) и отслеживание их поведения во времени. Используется для оценки Retention, LTV и качества привлечения трафика.",Блогеры DS
DS,Яндекс,A/B тесты,Hard,Что такое проблема множественного сравнения (Multiple Testing Problem) и как её решать?,"При проверке многих гипотез одновременно растет вероятность ложноположительных результатов (Family-Wise Error Rate). Решения: поправка Бонферрони (консервативная), контроль FDR (False Discovery Rate, метод Бенджамини-Хохберга).",LeetCode
DS,Сбер,Статистика,Medium,Назови основные типы распределений и где они применяются.,"Нормальное (ошибки измерений, рост), Бернулли/Биномиальное (успех/неудача, клики), Пуассона (редкие события за интервал времени, звонки в колл-центр), Экспоненциальное (время между событиями).",Общие источники
DS,Озон,Python,Medium,Как в pandas сделать группировку и посчитать несколько агрегаций сразу?,"Использовать df.groupby('column').agg({'col1': 'mean', 'col2': ['min', 'max'], 'col3': lambda x: x.nunique()}).",Блогеры DS
DS,Общий,SQL,Medium,"Что такое CTE (Common Table Expressions, WITH) и чем они лучше подзапросов?","CTE делают код читаемее, позволяют переиспользовать результат внутри одного запроса и поддерживают рекурсию (для иерархических данных).",LeetCode
DS,Т-Банк,Метрики,Easy,"Что такое DAU, WAU, MAU и как считается Stickiness?","Daily/Weekly/Monthly Active Users. Stickiness = DAU / MAU. Показывает, как часто пользователи возвращаются в продукт в течение месяца (в %).",VC.ru
DS,Яндекс,Data Cleaning,Medium,Как обнаружить и обработать выбросы (outliers) в данных?,"Обнаружение: визуализация (boxplot), статистические методы (Z-score > 3, метод IQR). Обработка: удаление, винзоризация (ограничение крайних значений), логарифмирование признака.",Habr
DS,Авито,A/B тесты,Medium,Зачем проводят A/A тесты перед запуском A/B теста?,Чтобы проверить корректность сплитования и системы сбора данных. В A/A тесте метрики между группами не должны иметь статистически значимых различий. Если есть — система настроена неверно.,Блогеры DS
DS,Сбер,Статистика,Hard,В чем суть байесовского подхода к A/B тестам в отличие от частотного (Frequentist)?,"Частотный: оценивает вероятность данных при верной нулевой гипотезе (p-value). Байесовский: оценивает вероятность гипотезы при наблюдаемых данных, используя априорное распределение (Prior) и обновляя его до апостериорного (Posterior).",VC.ru
DS,Общий,SQL,Easy,В каком порядке выполняются операции в SQL-запросе?,"1. FROM/JOIN, 2. WHERE, 3. GROUP BY, 4. HAVING, 5. SELECT, 6. DISTINCT, 7. ORDER BY, 8. LIMIT/OFFSET.",Общие источники
BI,Общий,Метрики,Easy,"Что такое DAU, WAU, MAU и как считается Stickiness?",Daily/Weekly/Monthly Active Users. Stickiness = DAU / MAU. Показывает частоту возврата пользователей в продукт (в %).,Общие источники
BI,Общий,Метрики,Easy,Объясни разницу между ARPU и ARPPU.,ARPU (Average Revenue Per User) — средний доход на всех пользователей. ARPPU (Average Revenue Per Paying User) — средний доход только на платящих пользователей.,Общие источники
BI,Сбер,Метрики,Medium,Как посчитать LTV (Lifetime Value) и какое соотношение LTV/CAC считается здоровым?,"LTV = (Средний чек * Частота покупок * Время жизни клиента) * Маржа. Здоровое соотношение LTV/CAC > 3. Если < 1, бизнес теряет деньги.",VC.ru
BI,Озон,Метрики,Medium,Что такое GMV (Gross Merchandise Value) и чем он отличается от выручки (Revenue)?,"GMV — общий объем товаров, проданных через площадку (без учета возвратов и комиссий). Revenue — фактическая выручка компании (комиссии, реклама, подписки).",Блогеры BI
BI,Т-Банк,Метрики,Medium,Что такое NPS (Net Promoter Score) и как его считать?,NPS = % промоутеров (оценка 9-10) - % критиков (оценка 0-6). Показывает лояльность клиентов. Диапазон от -100 до +100.,Общие источники
BI,Яндекс,Метрики,Hard,Что такое North Star Metric и как её выбрать для продукта?,"Главная метрика, которая лучше всего отражает ценность продукта для пользователей. Должна быть измеримой, чувствительной к изменениям и связанной с долгосрочным ростом.",Блогеры BI
BI,Общий,Визуализация,Easy,"Когда лучше использовать столбчатую диаграмму (bar chart), а когда линейный график (line chart)?","Bar chart — для сравнения категорий (например, продажи по регионам). Line chart — для показа трендов во времени (например, DAU по дням).",Общие источники
BI,Общий,Визуализация,Medium,Что такое heatmap и для каких задач он используется?,"Тепловая карта, где интенсивность цвета показывает значение метрики. Используется для анализа корреляций, активности пользователей по времени/дням, географического распределения.",Блогеры BI
BI,Сбер,Дашборды,Medium,Какие принципы проектирования эффективного дашборда?,"1) Одна цель на дашборд, 2) Важные метрики сверху, 3) Контекст и сравнения (YoY, MoM), 4) Интерактивность (фильтры, drill-down), 5) Минимализм (не перегружать).",VC.ru
BI,Озон,Дашборды,Hard,Как построить дашборд для мониторинга A/B теста?,"Основные метрики (конверсия, выручка) с доверительными интервалами, разбивка по сегментам, guardrail-метрики, статистическая значимость, возможность фильтрации по времени и гео.",Блогеры BI
BI,Т-Банк,SQL,Easy,В чем разница между WHERE и HAVING в SQL?,WHERE фильтрует строки ДО агрегации (GROUP BY). HAVING фильтрует сгруппированные результаты ПОСЛЕ агрегации.,Общие источники
BI,Яндекс,SQL,Medium,"В чем разница между функциями ROW_NUMBER(), RANK() и DENSE_RANK()?","ROW_NUMBER: уникальные номера 1, 2, 3, 4. RANK: 1, 2, 2, 4 (пропуск после одинаковых). DENSE_RANK: 1, 2, 2, 3 (без пропусков).",LeetCode
BI,Авито,SQL,Medium,Как посчитать скользящее среднее (moving average) за 7 дней в SQL?,Использовать оконную функцию: AVG(metric) OVER (ORDER BY date ROWS BETWEEN 6 PRECEDING AND CURRENT ROW).,LeetCode
BI,Wildberries,SQL,Hard,Как найти топ-3 товара по продажам в каждой категории?,"Использовать оконную функцию ROW_NUMBER() или RANK() с PARTITION BY category ORDER BY sales DESC, затем отфильтровать WHERE rank <= 3.",Блогеры BI
BI,Общий,Продуктовая аналитика,Easy,Что такое воронка конверсии (conversion funnel)?,"Последовательность шагов, которые пользователь проходит от первого касания до целевого действия (например: визит → просмотр товара → добавление в корзину → покупка).",Общие источники
BI,Озон,Продуктовая аналитика,Medium,Как рассчитать конверсию на каждом этапе воронки?,Конверсия этапа = (количество пользователей на этапе N) / (количество пользователей на этапе N-1) * 100%. Помогает найти "узкие места".,VC.ru
BI,Яндекс,Продуктовая аналитика,Hard,Что такое когортный анализ и для каких задач он используется?,"Разделение пользователей на группы (когорты) по общему признаку (месяц регистрации) и отслеживание их поведения во времени. Используется для оценки Retention, LTV и качества привлечения.",Блогеры BI
BI,Сбер,Продуктовая аналитика,Medium,"Как посчитать Retention Rate на 1-й, 7-й и 30-й день?","Retention Day N = (количество пользователей, вернувшихся на день N) / (количество пользователей в когорте) * 100%.",Общие источники
BI,Т-Банк,Продуктовая аналитика,Medium,Что такое Churn Rate и как его снизить?,"Churn Rate = (количество ушедших пользователей за период) / (общее количество пользователей в начале периода) * 100%. Снижение: улучшение онбординга, персонализация, push-уведомления, программы лояльности.",VC.ru
BI,Общий,Работа со стейкхолдерами,Easy,Как правильно собирать требования для нового дашборда?,"1) Определить цель и аудиторию, 2) Выбрать ключевые метрики, 3) Уточнить частоту обновления, 4) Обсудить фильтры и drill-down, 5) Сделать прототип и получить фидбек.",Блогеры BI
BI,Озон,Работа со стейкхолдерами,Medium,"Что делать, если стейкхолдер просит добавить 20 метрик на один дашборд?",Объяснить принцип "одна цель — один дашборд". Предложить разбить на несколько дашбордов по темам. Использовать drill-down вместо перегрузки.,VC.ru
BI,Яндекс,ETL,Medium,Что такое ETL и чем он отличается от ELT?,"ETL (Extract-Transform-Load): данные трансформируются до загрузки в хранилище. ELT (Extract-Load-Transform): данные загружаются сырыми, трансформация происходит внутри хранилища (современный подход).",Блогеры BI
BI,Сбер,ETL,Medium,Как обеспечить актуальность данных на дашборде?,"Настроить автоматическое обновление (real-time, hourly, daily), мониторинг пайплайнов, алерты при сбоях, проверку качества данных (data quality checks).",Общие источники
BI,Т-Банк,Качество данных,Medium,Как обнаружить и обработать пропущенные значения в данных для дашборда?,"Обнаружение: COUNT NULL, визуализация. Обработка: исключить из расчета, заменить на среднее/медиану, показать как ""N/A"" с пометкой.",Блогеры BI
BI,Wildberries,Качество данных,Hard,Что такое data drift и как его мониторить в BI-системах?,"Изменение распределения данных со временем. Мониторинг: отслеживание средних значений, дисперсии, количества NULL по ключевым метрикам. Алерты при резких изменениях.",VC.ru
BI,Общий,Storytelling,Easy,Что такое storytelling с данными и зачем он нужен?,"Подача данных в виде истории с контекстом, выводами и рекомендациями. Помогает стейкхолдерам понять данные и принять решение, а не просто увидеть цифры.",Блогеры BI
BI,Яндекс,Storytelling,Medium,Как подготовить презентацию с результатами A/B теста для руководства?,"1) Контекст и цель теста, 2) Ключевые метрики с визуализацией, 3) Статистическая значимость, 4) Выводы и рекомендации, 5) Следующие шаги. Минимум текста, максимум графиков.",VC.ru
BI,Озон,Domain knowledge,Medium,Какие метрики важны для e-commerce платформы?,"GMV, конверсия воронки, средний чек, количество заказов, повторные покупки, возвраты, NPS, время доставки.",Блогеры BI
BI,Т-Банк,Domain knowledge,Medium,"Какие метрики важны для финтех-продукта (например, кредитная карта)?","Количество выпущенных карт, активация, транзакционная активность, средний чек, просроченная задолженность, NPS, churn rate.",Общие источники
BI,X5 Retail,Domain knowledge,Hard,Как посчитать средний чек и частоту покупок в ритейле?,Средний чек = Выручка / Количество чеков. Частота покупок = Количество чеков / Количество уникальных покупателей за период.,VC.ru
DI,Общий,ETL/ELT,Easy,Что такое ETL и чем он отличается от ELT?,"ETL (Extract-Transform-Load): данные трансформируются до загрузки в хранилище. ELT (Extract-Load-Transform): данные загружаются сырыми, трансформация происходит внутри хранилища (современный подход для облачных DWH).",Общие источники
DI,Общий,ETL/ELT,Medium,Что такое инкрементальная загрузка (incremental load) и чем она отличается от полной (full load)?,"Инкрементальная загружает только изменения (новые/обновленные записи) с момента последней загрузки. Полная перезагружает все данные. Инкрементальная быстрее, но сложнее в реализации (нужен CDC или timestamp).",Блогеры DE
DI,Яндекс,Apache Spark,Medium,Что такое RDD в Spark и чем DataFrame отличается от RDD?,"RDD (Resilient Distributed Dataset) — низкоуровневая абстракция, распределенная коллекция объектов. DataFrame — высокоуровневая абстракция с именованными колонками и оптимизацией через Catalyst Optimizer. DataFrame быстрее и удобнее.",LeetCode
DI,Озон,Apache Spark,Hard,Как работает механизм partitioning в Spark и как выбрать правильное количество партиций?,"Partitioning — разделение данных на части для параллельной обработки. Оптимальное количество: 100-200 MB на партицию. Слишком много партиций — overhead на задачи, слишком мало — недостаточная параллельность.",Блогеры DE
DI,Т-Банк,Apache Spark,Medium,Что такое broadcast join в Spark и когда его использовать?,"Broadcast join отправляет копию маленькой таблицы на все узлы кластера, избегая shuffle. Используется, когда одна таблица значительно меньше другой (обычно < 10 MB). Ускоряет join операции.",VC.ru
DI,Сбер,Apache Airflow,Easy,Что такое DAG в Apache Airflow?,"DAG (Directed Acyclic Graph) — направленный ациклический граф, описывающий последовательность задач (tasks) и их зависимости. Определяет порядок выполнения пайплайна.",Общие источники
DI,Авито,Apache Airflow,Medium,В чем разница между операторами (Operators) и сенсорами (Sensors) в Airflow?,"Операторы выполняют действия (PythonOperator, BashOperator, SparkSubmitOperator). Сенсоры ждут наступления условия (файл появился, таблица обновилась) и блокируют выполнение до его наступления.",Блогеры DE
DI,Wildberries,Apache Airflow,Hard,Как обрабатывать ошибки и делать retry задач в Airflow?,"Параметры: retries (количество попыток), retry_delay (задержка между попытками), on_failure_callback (уведомления). Использовать XCom для передачи данных между задачами. Idempotency — ключевое свойство задач.",VC.ru
DI,Общий,Базы данных,Easy,В чем разница между OLTP и OLAP системами?,"OLTP (Online Transaction Processing): много коротких транзакций, нормализованные данные (PostgreSQL, MySQL). OLAP (Online Analytical Processing): сложные аналитические запросы, денормализованные данные (ClickHouse, Greenplum).",Общие источники
DI,Яндекс,Базы данных,Medium,Что такое колоночное хранилище (columnar storage) и почему оно быстрее для аналитики?,"Данные хранятся по колонкам, а не по строкам. Преимущества: лучшее сжатие (однотипные данные), быстрое чтение только нужных колонок, векторизация операций. Примеры: ClickHouse, Vertica.",LeetCode
DI,Т-Банк,Базы данных,Hard,Как оптимизировать медленный SQL-запрос в PostgreSQL?,"1) EXPLAIN ANALYZE для анализа плана запроса, 2) Добавить индексы (B-tree, GIN, GiST), 3) Переписать запрос (избегать SELECT *, использовать JOIN вместо подзапросов), 4) Partitioning таблиц, 5) VACUUM и ANALYZE.",Блогеры DE
DI,Озон,Data Warehousing,Medium,Что такое Star Schema и Snowflake Schema в DWH?,"Star Schema: одна таблица фактов в центре, окруженная таблицами измерений (денормализованные). Snowflake Schema: таблицы измерений нормализованы (разбиты на подтаблицы). Star проще и быстрее для запросов.",VC.ru
DI,Сбер,Data Warehousing,Medium,В чем разница между таблицами фактов (fact tables) и таблицами измерений (dimension tables)?,"Fact tables: метрики, события, транзакции (числовые данные, много строк). Dimension tables: описательные атрибуты (кто, что, где, когда). Связываются через foreign keys.",Общие источники
DI,Авито,Data Lake,Medium,Что такое Data Lake и чем он отличается от Data Warehouse?,"Data Lake: сырые данные любого формата (структурированные, полуструктурированные, неструктурированные), дешевое хранение (S3, HDFS). Data Warehouse: структурированные данные, схема при записи, оптимизирован для аналитики.",Блогеры DE
DI,Яндекс,Форматы данных,Medium,"В чем разница между форматами Parquet, Avro и ORC?","Parquet: колоночный, хорошее сжатие, быстрый для аналитики (Spark, Presto). Avro: строчный, схема в JSON, хорош для стриминга (Kafka). ORC: колоночный, оптимизирован для Hive.",LeetCode
DI,Т-Банк,Kafka,Medium,Что такое Apache Kafka и для каких задач он используется?,"Распределенная система обмена сообщениями (event streaming platform). Используется для: real-time data pipelines, стриминг событий, decoupling систем, обработка логов. Высокая пропускная способность, persistence.",VC.ru
DI,Озон,Kafka,Hard,Как работает партиционирование в Kafka и как гарантировать порядок сообщений?,Топик разбит на партиции. Сообщения с одинаковым key попадают в одну партицию — это гарантирует порядок внутри партиции. Глобального порядка нет. Consumers читают из партиций параллельно.,Блогеры DE
DI,Сбер,CDC,Medium,Что такое Change Data Capture (CDC) и какие инструменты его реализуют?,"CDC отслеживает изменения в БД (INSERT, UPDATE, DELETE) в реальном времени. Инструменты: Debezium (open-source), Kafka Connect, AWS DMS. Используется для репликации данных, синхронизации DWH.",Общие источники
DI,Авито,Распределенные системы,Hard,Что такое CAP-теорема и как она применяется к распределенным базам данных?,"Невозможно одновременно обеспечить Consistency (согласованность), Availability (доступность) и Partition Tolerance (устойчивость к разделению). Примеры: Cassandra (AP), PostgreSQL (CP), MongoDB (настраивается).",LeetCode
DI,Wildberries,Hadoop,Medium,Что такое HDFS и как он хранит данные?,"HDFS (Hadoop Distributed File System): распределенная файловая система. Данные разбиваются на блоки (обычно 128 MB), каждый блок реплицируется (обычно 3 копии) на разные узлы для надежности.",Блогеры DE
DI,Яндекс,Data Quality,Medium,Как обеспечить качество данных в пайплайне?,"Валидация схемы (Great Expectations, dbt tests), проверка на NULL, дубликаты, выбросы. Мониторинг: алерты при аномалиях. Data lineage: отслеживание происхождения данных.",VC.ru
DI,Т-Банк,Мониторинг,Medium,Как мониторить ETL-пайплайны и что делать при сбоях?,"Метрики: время выполнения, количество обработанных записей, ошибки. Инструменты: Airflow UI, Prometheus + Grafana, алерты в Slack/Telegram. При сбоях: retry, ручное вмешательство, rollback.",Блогеры DE
